dem,AZ,9,Open,LIKELY DEMOCRATIC
dem,CA,24,Carbajal,LIKELY DEMOCRATIC
dem,FL,7,Murphy,LIKELY DEMOCRATIC
dem,FL,13,Crist,LIKELY DEMOCRATIC
dem,IA,2,Loebsack,LIKELY DEMOCRATIC
dem,MN,7,Peterson,LIKELY DEMOCRATIC
dem,NH,2,Kuster,LIKELY DEMOCRATIC
dem,NY,3,Suozzi,LIKELY DEMOCRATIC
dem,NY,18,Maloney,LIKELY DEMOCRATIC
dem,PA,17,Cartwright,LIKELY DEMOCRATIC
dem,WI,3,Kind,LIKELY DEMOCRATIC
dem,AZ,1,O'Halleran,LEAN DEMOCRATIC
rep,AZ,2,Open,LEAN DEMOCRATIC
dem,CA,7,Bera,LEAN DEMOCRATIC
rep,CA,39,Open,LEAN DEMOCRATIC
rep,CA,49,Open,LEAN DEMOCRATIC
rep,FL,27,Open,LEAN DEMOCRATIC
dem,NH,1,Open,LEAN DEMOCRATIC
rep,NJ,2,Open,LEAN DEMOCRATIC
dem,NJ,5,Gottheimer,LEAN DEMOCRATIC
dem,NV,4,Open,LEAN DEMOCRATIC
rep,PA,7,Open,LEAN DEMOCRATIC
dem,MN,1,Open,DEMOCRATIC TOSS UP
dem,MN,8,Open,DEMOCRATIC TOSS UP
dem,NV,3,Open,DEMOCRATIC TOSS UP
rep,CA,10,Denham,REPUBLICAN TOSS UP
rep,CA,25,Knight,REPUBLICAN TOSS UP
rep,CA,48,Rohrabacher,REPUBLICAN TOSS UP
rep,CO,6,Coffman,REPUBLICAN TOSS UP
rep,FL,26,Curbelo,REPUBLICAN TOSS UP
rep,IA,1,Blum,REPUBLICAN TOSS UP
rep,IL,6,Roskam,REPUBLICAN TOSS UP
rep,IL,12,Bost,REPUBLICAN TOSS UP
rep,MI,11,Open,REPUBLICAN TOSS UP
rep,MN,2,Lewis,REPUBLICAN TOSS UP
rep,MN,3,Paulsen,REPUBLICAN TOSS UP
rep,NE,2,Bacon,REPUBLICAN TOSS UP
rep,NJ,11,Open,REPUBLICAN TOSS UP
rep,NY,19,Faso,REPUBLICAN TOSS UP
rep,NY,22,Tenney,REPUBLICAN TOSS UP
rep,TX,7,Culberson,REPUBLICAN TOSS UP
rep,VA,10,Comstock,REPUBLICAN TOSS UP
rep,WA,8,Open,REPUBLICAN TOSS UP
rep,CA,45,Walters,LEAN REPUBLICAN
rep,FL,18,Mast,LEAN REPUBLICAN
rep,GA,6,Handel,LEAN REPUBLICAN
rep,IA,3,Young,LEAN REPUBLICAN
rep,KS,2,Open,LEAN REPUBLICAN
rep,KS,3,Yoder,LEAN REPUBLICAN
rep,KY,6,Barr,LEAN REPUBLICAN
rep,ME,2,Poliquin,LEAN REPUBLICAN
rep,MI,8,Bishop,LEAN REPUBLICAN
rep,NC,13,Budd,LEAN REPUBLICAN
rep,NJ,7,Lance,LEAN REPUBLICAN
rep,NY,11,Donovan,LEAN REPUBLICAN
rep,PA,6,Costello,LEAN REPUBLICAN
rep,PA,8,Fitzpatrick,LEAN REPUBLICAN
rep,PA,15,Open,LEAN REPUBLICAN
rep,PA,18,Vacant,LEAN REPUBLICAN
rep,TX,23,Hurd,LEAN REPUBLICAN
rep,TX,32,Sessions,LEAN REPUBLICAN
rep,UT,4,Love,LEAN REPUBLICAN
rep,VA,2,Taylor,LEAN REPUBLICAN
rep,VA,7,Brat,LEAN REPUBLICAN
rep,AR,2,Hill,LIKELY REPUBLICAN
rep,CA,4,McClintock,LIKELY REPUBLICAN
rep,CA,21,Valadao,LIKELY REPUBLICAN
rep,CA,50,Hunter,LIKELY REPUBLICAN
rep,FL,16,Buchanan,LIKELY REPUBLICAN
rep,GA,7,Woodall,LIKELY REPUBLICAN
rep,IL,13,Davis,LIKELY REPUBLICAN
rep,IL,14,Hultgren,LIKELY REPUBLICAN
rep,IN,2,Walorski,LIKELY REPUBLICAN
rep,MI,6,Upton,LIKELY REPUBLICAN
rep,MI,7,Walberg,LIKELY REPUBLICAN
rep,MO,2,Wagner,LIKELY REPUBLICAN
rep,MT,0,Gianforte,LIKELY REPUBLICAN
rep,NC,2,Holding,LIKELY REPUBLICAN
rep,NC,9,Pittenger,LIKELY REPUBLICAN
rep,NJ,3,MacArthur,LIKELY REPUBLICAN
rep,NM,2,Open,LIKELY REPUBLICAN
rep,NY,1,Zeldin,LIKELY REPUBLICAN
rep,NY,24,Katko,LIKELY REPUBLICAN
rep,OH,1,Chabot,LIKELY REPUBLICAN
rep,OH,12,Vacant,LIKELY REPUBLICAN
rep,OH,15,Stivers,LIKELY REPUBLICAN
rep,OH,16,Open,LIKELY REPUBLICAN
rep,PA,16,Smucker,LIKELY REPUBLICAN
rep,TX,21,Open,LIKELY REPUBLICAN
rep,VA,5,Garrett,LIKELY REPUBLICAN
rep,WA,5,McMorris Rodgers,LIKELY REPUBLICAN
rep,WI,6,Grothman,LIKELY REPUBLICAN
