D,CA,Feinstein,SOLID D,1
D,CT,Murphy,SOLID D,1
D,DE,Carper,SOLID D,1
D,HI,Hirono,SOLID D,1
D,MD,Cardin,SOLID D,1
D,MA,Warren,SOLID D,1
D,NM,Heinrich,SOLID D,1
D,NY,Gillibrand,SOLID D,1
D,RI,Whitehouse,SOLID D,1
I,VT,Sanders,SOLID D,1
D,VA,Kaine,SOLID D,1
D,WA,Cantwell,SOLID D,1
D,MN,Klobuchar,SOLID D,1
D,MT,Tester,LIKELY D,2
D,NJ,Menéndez,LIKELY D,2
D,PA,Casey,LIKELY D,2
D,WI,Baldwin,LIKELY D,2
D,MI,Stabenow,LIKELY D,2
D,FL,Nelson,LEAN D,3
I,ME,King,LEAN D,3
D,OH,Brown,LEAN D,3
D,IN,Donnelly,TOSS UP,4
D,MO,McCaskill,TOSS UP,4
D,ND,Heitkamp,TOSS UP,4
D,WV,Manchin,TOSS UP,4
D,MN,Smith,TOSS UP,4
R,AZ,Flake,TOSS UP,4
R,NV,Heller,TOSS UP,4
R,TN,Corker,TOSS UP,4
R,TX,Cruz,LIKELY R,6
R,MS,Wicker,SOLID R,7
R,NE,Fischer,SOLID R,7
R,UT,Hatch,SOLID R,7
R,WY,Barrasso,SOLID R,7
