AZ,R,Open,Flake,Toss-up,4
IN,D,Incumbent,Donnelly,Toss-up,4
MO,D,Incumbent,McCaskill,Toss-up,4
NV,R,Incumbent,Heller,Toss-up,4
ND,D,Incumbent,Heitkamp,Toss-up,4
WV,D,Incumbent,Manchin,Toss-up,4
FL,D,Incumbent,Nelson,Tilt Democratic,3.25
MT,D,Incumbent,Tester,Tilt Democratic,3.25
WI,D,Incumbent,Baldwin,Tilt Democratic,3.25
OH,D,Incumbent,Brown,Lean Democratic,2.5
PA,D,Incumbent,Casey,Lean Democratic,2.5
MN-S,D,Incumbent,Smith,Likely Democratic,1.75
CA,D,Incumbent,Feinstein,Solid Democratic,1
CT,D,Incumbent,Murphy,Solid Democratic,1
DE,D,Incumbent,Carper,Solid Democratic,1
HI,D,Incumbent,Hirono,Solid Democratic,1
ME,I,Incumbent,King,Solid Democratic,1
MD,D,Incumbent,Cardin,Solid Democratic,1
MA,D,Incumbent,Warren,Solid Democratic,1
MI,D,Incumbent,Stabenow,Solid Democratic,1
MN,D,Incumbent,Klobuchar,Solid Democratic,1
NJ,D,Incumbent,Menendez,Solid Democratic,1
NM,D,Incumbent,Heinrich,Solid Democratic,1
NY,D,Incumbent,Gillibrand,Solid Democratic,1
RI,D,Incumbent,Whitehouse,Solid Democratic,1
VT,I,Incumbent,Sanders,Solid Democratic,1
VA,D,Incumbent,Kaine,Solid Democratic,1
WA,D,Incumbent,Cantwell,Solid Democratic,1
TN,R,Open,Corker,Likely Republican,6.25
MS,R,Incumbent,Wicker,Solid Republican,7
NE,R,Incumbent,Fischer,Solid Republican,7
TX,R,Incumbent,Cruz,Solid Republican,7
UT,R,Open,Hatch,Solid Republican,7
WY,R,Incumbent,Barrasso,Solid Republican,7
